Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,OREB,AST,STL,BLK,TO,PF,GW
Los Angeles Stars,82,89.5,38.7,69.4,55.9,9.8,18.7,52.2,2.2,2.7,83.5,38.6,6.3,21.5,4.7,6.9,3.6,2.4,73
New Orleans Airmen,82,75.6,32.7,68.8,47.6,7.5,19,39.2,2.7,3.7,72.9,39.6,7,17.5,4.4,8.3,3.8,2.1,61
New York Empire,82,75.6,32.5,68.7,47.2,7.7,19.6,39.4,2.9,3.8,76.5,40.4,7,21.3,5.5,8,4,2,61
Indiana Overdrive,82,75.4,32.7,68.9,47.5,7,19.2,36.4,3,3.7,79.5,40.5,7,17.9,4.1,6.2,3.8,2.2,63
Atlanta Talons,82,75.4,32.4,68.8,47.1,7.8,20.2,38.5,2.8,3.5,79.9,39.8,7.2,21.4,4.5,7,3.9,2.1,62
San Diego Surf,82,74.4,33,70.4,46.9,6.1,17,36,2.2,3.2,69.5,39.8,7.6,14.6,4.7,7.1,3.6,2.2,58
Houston Cosmos,82,73.4,31.4,69.7,45.1,7.8,20.7,37.5,2.8,3.6,77.5,40,7.7,16.5,4.4,6.7,3.7,2.2,54
Phoenix Firebirds,82,73.3,31.7,70,45.4,7.5,20.4,36.5,2.4,3.3,73.4,40.9,7.8,15.7,4.2,7.2,3.5,2,60
Portland Roses,82,72.3,30.7,69.6,44.1,7.8,21.8,35.9,3,3.5,85.8,40.2,7.3,19,4,7.3,3.5,2.2,52
San Francisco Quakes,82,72,30.7,69.7,44.1,7.7,20.6,37.3,2.9,3.4,84.4,40.9,8.1,18.6,4.1,7.7,3.7,2.2,64
Boston Charms,82,70.8,29.5,69.5,42.4,8.8,22.6,38.8,3.1,3.7,83.8,40.7,8.3,15.8,4.1,5.5,4,2.3,49
Utah Summit,82,70.7,31.1,69.6,44.7,6.1,18.8,32.3,2.5,3.5,71.9,40.5,7.7,17.8,3.8,5.7,3.9,2.3,49
Chicago Blues,82,69.7,29.8,69.8,42.7,7.4,20.7,35.6,2.8,3.9,72.6,40,7.6,13,5.1,5.9,3.5,2.1,52
Washington Agents,82,69.3,30.2,69.1,43.6,6,18.3,33,2.9,4,73.1,41.5,7.2,14,4.9,8.8,3.6,2,63
Miami Tides,82,66.2,29,69.5,41.7,5.7,18.4,31.2,2.5,3.9,64.1,40.4,7.7,14.4,3.8,6.5,3.4,2.3,41
Denver Miners,82,66.1,28.4,69.6,40.8,6.7,20.1,33.3,2.6,3.7,68.7,41.1,8.4,14.4,4,5,4.2,2,45
Minnesota Sabers,82,61,26.8,69.9,38.4,5.1,17.5,29,2.3,3.8,61,40.8,8.5,11,3.3,4.4,3.7,2,30
Detroit Drift,82,60.5,26.7,69.8,38.2,5.3,18,29.6,1.8,3.3,52.9,41.5,8.5,8.8,2.7,4.2,4.3,1.9,26
Oklahoma City Outlaws,82,59.8,26.2,70.9,37,5.3,18.4,29,2,3.8,52.7,41.9,9.5,6,3.9,4.5,3.8,1.9,33
San Antonio Sheriffs,82,59.4,26,70.1,37.1,5.4,18.4,29.3,1.9,3.8,49.5,40.9,8.9,4.1,3.3,4.6,4,2,29
Brooklyn Ballers,82,59.1,25.4,69.4,36.6,6,19.1,31.3,2.3,4.3,54.4,41.4,8.8,11,3,4.9,4,2.1,27
Toronto Towers,82,57.8,25.7,70.2,36.6,4.7,18,26.3,1.6,3.9,41.6,41.3,9,8.4,4.4,5.3,3.7,1.9,34
Philadelphia Founders,82,57.6,25.2,69.9,36.1,5.3,17.9,29.4,1.9,3.9,50.2,41,8.7,8.5,2.8,4.2,3.9,2.1,22
Cleveland Gladiators,82,56.4,24.5,70.4,34.8,5.5,19.2,28.5,1.9,4,47.8,41.4,9,8.1,2.4,3.5,3.5,2.3,23
Dallas Knights,82,56.3,24.9,69.8,35.6,4.7,17.4,26.9,1.8,3.4,53.5,40.8,8.7,4.1,3.2,3.7,3.9,2.1,20
Orlando Orbiters,82,55.3,24.4,69.3,35.2,4.6,16.9,27.3,1.8,4,45.7,40.9,8.2,5.8,2.5,4.6,3.8,2.1,20
Sacramento Royals,82,54.3,24.2,68.7,35.2,3.7,15.2,24.2,2.2,4.3,51.6,39.8,8,10.6,3.3,4.2,4.3,2.2,14
Milwaukee Spartans,82,53.6,23,70.7,32.5,5.6,20.3,27.6,2,4.2,48.3,42.2,10.1,6.9,2.9,3.4,3.9,1.9,16
Charlotte Stingers,82,53.4,23.4,69.8,33.5,4.7,17.4,26.8,2,4,50.2,41.6,9,5.2,3.2,4.3,4,2,15
Memphis Rockers,82,53.1,23,69.9,32.9,5,19.7,25.6,2,4.1,49.3,41.9,8.9,7.8,2.6,5.1,3.5,2,14
